[aa] =17
[pk] =0
[pl] =1
[pm] =0
[pn] =0
[po] =0
[pp] =0
[pq] =0
[pr] =0
[ps] =0
[pt] =0
[pu] =0
[pv] =0
[pw] =0
[px] =0
[py] =0
[pz] =0
[p ] =0
[qa] =0
[qb] =0
[qc] =0
[qd] =0
[qe] =0
[qf] =0
[qg] =0
[qh] =0
[qi] =0
[qj] =0
[qk] =0
[ql] =0
[qm] =0
[qn] =0
[qo] =0
[qp] =0
[qq] =0
[qr] =0
[qs] =0
[qt] =0
[qu] =0
[qv] =1
[qw] =1
[qx] =0
[qy] =0
[qz] =0
[q ] =0
[ra] =0
[rb] =0
[rc] =0
[rd] =0
[re] =0
[rf] =0
[rg] =0
[rh] =0
[ri] =0
[rj] =0
[rk] =0
[rl] =1
[rm] =0
[rn] =0
[ro] =0
[rp] =0
[rq] =0
[rr] =0
[rs] =0
[rt] =1
[ru] =0
[rv] =0
[rw] =0
[rx] =0
[ry] =0
[rz] =0
[r ] =0
[sa] =1
[sb] =0
[sc] =0
[sd] =0
[se] =0
[sf] =0
[sg] =0
[sh] =0
[si] =1
[sj] =1
[sk] =0
[sl] =2
[sm] =0
[sn] =0
[so] =0
[sp] =0
[sq] =0
[sr] =0
[ss] =0
[st] =0
[su] =1
[sv] =0
[sw] =0
[sx] =0
[sy] =0
[sz] =0
[s ] =0
[ta] =0
[tb] =0
[tc] =0
[td] =0
[te] =0
[tf] =0
[tg] =0
[th] =0
[ti] =0
[tj] =0
[tk] =0
[tl] =0
[tm] =0
[tn] =0
[to] =0
[tp] =0
[tq] =0
[tr] =0
[ts] =0
[tt] =0
[tu] =0
[tv] =0
[tw] =0
[tx] =0
[ty] =1
[tz] =0
[t ] =0
[ua] =0
[ub] =0
[uc] =0
[ud] =0
[ue] =0
[uf] =0
[ug] =1
[uh] =0
[ui] =4
[uj] =0
[uk] =1
[ul] =0
[um] =0
[un] =0
[uo] =0
[up] =0
[uq] =0
[ur] =0
[us] =1
[ut] =0
[uu] =35
[uv] =0
[uw] =0
[ux] =0
[uy] =0
[uz] =0
[u ] =0
[va] =0
[vb] =1
[vc] =0
[vd] =0
[ve] =0
[vf] =0
[vg] =0
[vh] =0
[vi] =1
[vj] =0
[vk] =0
[vl] =0
[vm] =0
[vn] =1
[vo] =0
[vp] =0
[vq] =0
[vr] =0
[vs] =0
[vt] =0
[vu] =0
[vv] =0
[vw] =0
[vx] =0
[vy] =0
[vz] =0
[v ] =0
[wa] =0
[wb] =0
[wc] =0
[wd] =0
[we] =1
[wf] =0
[wg] =0
[wh] =0
[wi] =1
[wj] =0
[wk] =0
[wl] =0
[wm] =0
[wn] =0
[wo] =0
[wp] =0
[wq] =0
[wr] =0
[ws] =0
[wt] =0
[wu] =0
[wv] =0
[ww] =0
[wx] =0
[wy] =0
[wz] =0
[w ] =0
[xa] =0
[xb] =0
[xc] =1
[xd] =0
[xe] =0
[xf] =0
[xg] =0
[xh] =0
[xi] =0
[xj] =0
[xk] =0
[xl] =0
[xm] =0
[xn] =0
[xo] =0
[xp] =0
[xq] =0
[xr] =0
[xs] =0
[xt] =0
[xu] =0
[xv] =0
[xw] =0
[xx] =1
[xy] =0
[xz] =0
[x ] =0
[ya] =0
[yb] =0
[yc] =0
[yd] =0
[ye] =0
[yf] =0
[yg] =0
[yh] =0
[yi] =0
[yj] =0
[yk] =0
[yl] =0
[ym] =0
[yn] =0
[yo] =0
[yp] =0
[yq] =0
[yr] =0
[ys] =0
[yt] =0
[yu] =1
[yv] =0
[yw] =0
[yx] =0
[yy] =0
[yz] =0
[y ] =0
[za] =0
[zb] =0
[zc] =0
[zd] =0
[ze] =0
[zf] =0
[zg] =0
[zh] =0
[zi] =0
[zj] =0
[zk] =0
[zl] =0
[zm] =0
[zn] =0
[zo] =0
[zp] =0
[zq] =0
[zr] =0
[zs] =0
[zt] =0
[zu] =0
[zv] =0
[zw] =0
[zx] =1
[zy] =0
[zz] =0
[z ] =0
[ a] =1
[ b] =0
[ c] =0
[ d] =0
[ e] =0
[ f] =0
[ g] =0
[ h] =0
[ i] =0
[ j] =0
[ k] =0
[ l] =0
[ m] =0
[ n] =0
[ o] =0
[ p] =0
[ q] =0
[ r] =0
[ s] =0
[ t] =0
[ u] =0
[ v] =0
[ w] =0
[ x] =0
[ y] =0
[ z] =0
[  ] =45
